,population,capacity,capacity_within,population_within,load,provision
913,4598,0,0,1305372,,0.0
914,30,0,0,1282230,,0.0
915,16,0,0,1274595,,0.0
916,1452,0,0,1312979,,0.0
917,19,0,0,1285662,,0.0
918,1593,0,0,1289353,,0.0
919,2676,0,0,1117233,,0.0
920,2614,0,0,1246586,,0.0
921,3605,0,0,1030604,,0.0
922,3635,0,0,1210844,,0.0
923,0,0,0,1077498,,
924,0,0,0,1060106,,
925,1445,0,0,1181466,,0.0
926,4222,0,0,1013531,,0.0
927,5624,0,0,1119185,,0.0
928,5029,0,0,1138537,,0.0
929,4052,65000,75270000,989347,15.220723076923077,18576.011846001973
930,3311,0,0,713431,,0.0
931,0,0,0,1293049,,
932,0,0,0,1195167,,
933,0,0,0,1070575,,
934,1149,0,0,1363872,,0.0
935,3092,0,0,1287232,,0.0
936,16,0,0,1324968,,0.0
937,15,0,0,1314681,,0.0
938,8,0,0,1254044,,0.0
939,0,0,0,1278117,,
940,3816,0,0,839565,,0.0
941,0,0,0,823682,,
942,0,0,0,165676,,
943,0,0,0,897677,,
944,0,0,0,837988,,
945,461,0,0,712377,,0.0
946,0,0,0,966770,,
947,4,0,0,1355014,,0.0
948,3,0,0,1254064,,0.0
949,86,0,0,1402414,,0.0
950,118,0,0,1310825,,0.0
951,129,0,0,1268914,,0.0
952,0,0,0,1269606,,
953,31,0,0,1292954,,0.0
954,0,0,0,1269659,,
955,79,0,0,1299473,,0.0
956,73,0,0,1262982,,0.0
957,71,0,0,1343866,,0.0
958,427,0,0,1323842,,0.0
959,136,0,0,1395330,,0.0
960,176,0,0,1347769,,0.0
961,18,0,0,1412468,,0.0
962,14,0,0,1423532,,0.0
963,614,0,0,1345937,,0.0
964,101,0,0,1241827,,0.0
965,229,0,0,1316858,,0.0
